,0.3,0.5,0.7,1
256_1,0.32583317647174914,0.3214149287768773,0.32398828605967245,0.3171956297897157
128_1,0.3263622966347908,0.3223217643442608,0.3254062263515052,0.31950967453774953
256_200_1,0.3257867973677966,0.31482885763758706,0.31609088722176437,0.3043768544991811
256_128_1,0.3256222437433645,0.320209725130172,0.3179767868650241,0.3053828477859497
128_64_1,0.32693686594768445,0.3235914590812865,0.3256063125734254,0.3161098514284406
256_128_64_1,0.3269567442994539,0.3177773206006913,0.31982135890037056,0.30419930787313554
