,0.3,0.5,0.7,1
32_1,"[0.14451810082998104, 0.9373304044450187, 0.9874123214167481]","[0.1673841994921589, 0.927821997105644, 0.9874269109643619]","[0.12676310496399712, 0.9496533011937307, 0.9908169037884382]","[0.12462715665903308, 0.9463370515705772, 0.9904051090466272]"
24_1,"[0.14851771058720017, 0.9386225610543998, 0.9868015609524081]","[0.14465499032853513, 0.9383140376266281, 0.9876065208453427]","[0.12991085710924344, 0.9436237564243608, 0.9896351520628308]","[0.1477819036991123, 0.9339764847933689, 0.987041690084967]"
32_16_1,"[0.17053131743787078, 0.9272515828918465, 0.9847357177313762]","[0.15450080579305783, 0.9352387843704776, 0.9873665111813773]","[8.877829493619535, 0.4492010853270432, 0.36051013323635406]","[0.136120750134452, 0.9478444377629197, 0.9884908696179235]"
32_24_1,"[0.17733397590479508, 0.9277684455355989, 0.9855972683332861]","[0.15187758000368082, 0.9377713458755427, 0.9860578492167102]","[0.16157486812875038, 0.9321676213445885, 0.9865913240247884]","[0.1387767580270156, 0.9378956888934593, 0.9886304610558255]"
