,0.3,0.5,0.7,1
5_1,"[0.08206059947953395, 0.9754170324846356, 0.9729538874157592]","[0.07638021262298283, 0.9774276455469885, 0.9771063405288656]","[0.0775307630624074, 0.9763500930654714, 0.9780227500836399]","[0.07979079256427354, 0.9774674115012256, 0.9788645868183339]"
4_1,"[0.08265302531912137, 0.9750977731662543, 0.9725247513034054]","[0.07862124842832922, 0.9783216001787909, 0.9771819973398089]","[0.07639081674026156, 0.9769087522833485, 0.9784752425560388]","[0.0818236130451024, 0.9759776535868867, 0.9779633656741386]"
6_4_1,"[0.0942763792618414, 0.9726235134487988, 0.9657272963707149]","[0.0840908050060885, 0.9748575259805565, 0.9732148958498579]","[0.0817632894595353, 0.9750465548904248, 0.9769739043158246]","[0.08879369766116697, 0.9711359403652852, 0.9730235864837739]"
4_2_1,"[0.0946078005623075, 0.970787772368106, 0.9682489673625952]","[0.0892157387111204, 0.9741870600067046, 0.9709918668928236]","[0.09282386642317088, 0.9707635008867005, 0.9711059300769488]","[0.08529996557136932, 0.9737430167153783, 0.9753740799598527]"
