,0.3,0.5,0.7,1
5_1,"[0.08227902941190356, 0.9765344400989704, 0.9724449564213041]","[0.07739830952804173, 0.9775393898759638, 0.9759307618152754]","[0.07696526665899563, 0.9770949720226408, 0.9768434258949482]","[0.07705252827934268, 0.9782122904583951, 0.9790084476413518]"
4_1,"[0.08344119572549827, 0.9756564769734216, 0.9719109797605054]","[0.07921236108396157, 0.9769806682310873, 0.9762300333134023]","[0.0822220035036072, 0.9759776535868867, 0.9773076279692205]","[0.0774054440678387, 0.9774674115012256, 0.9788696052191368]"
6_4_1,"[0.09851635926097149, 0.9714262910048687, 0.9644556942925967]","[0.0858590454237796, 0.9746340373226059, 0.9738361663961732]","[0.08286215368124138, 0.974115456193963, 0.9764549180327868]","[0.08235639462202399, 0.9767225325440562, 0.9779010538641686]"
4_2_1,"[0.09535034780864585, 0.9722244393008221, 0.9670636124800113]","[0.09436317864447043, 0.9711699631243714, 0.9694275555528439]","[0.09117341599317902, 0.9711359403652852, 0.9721050100368015]","[0.3054176917067231, 0.9087523277911393, 0.5]"
5_0,"[0.0781617021177734, 0.9772811917619332, 0.9780348778855805]","[0.07623674441649261, 0.9767225325440562, 0.9792539310806289]","[0.07573946366846228, 0.9774674115012256, 0.9776764804282368]","[0.07780865815292967, 0.9778398509798103, 0.9783041987286717]"
4_0,"[0.08177682829524774, 0.9752327746297172, 0.9784041485446637]","[0.07949274524879855, 0.977653631240518, 0.9785480093676815]","[0.07861050552579278, 0.9769087522833485, 0.9777015724322515]","[0.08154166277282952, 0.9767225325440562, 0.9779558380729341]"
6_4_0,"[0.08052119958861358, 0.9767225325440562, 0.977299682167949]","[0.08308496164154518, 0.9737430167153783, 0.9765736868517899]","[0.08620089432935697, 0.9746741154118401, 0.9755605971896957]","[0.0877253071888865, 0.9739292364546707, 0.9741761458681832]"
4_2_0,"[0.08307463532969273, 0.9756052141083019, 0.9752057544329208]","[0.09089616183989319, 0.9722532588010394, 0.9727588658414187]","[0.09312374481109267, 0.9713221601045775, 0.9709785881565741]","[0.3054154006240532, 0.9087523277911393, 0.5]"
