,0.3,0.5,0.7,1
32_1,"[0.12426641789635749, 0.9476676573200672, 0.9905355099106696]","[0.11178312067049603, 0.9509768451519537, 0.9923061802753383]","[0.09457129351583439, 0.9599035273016595, 0.9944290159170973]","[0.09925549035093935, 0.9593005728067531, 0.9937402423748178]"
24_1,"[0.12498904214439054, 0.9454709910841194, 0.990544225408446]","[0.11691957705383972, 0.9513386396526773, 0.9918367574005629]","[0.107712508264883, 0.9544769370092266, 0.9928418980027404]","[0.104418911991929, 0.9541754597707581, 0.9934559166565646]"
32_16_1,"[0.16739549732314923, 0.9302235430934229, 0.9835332492862074]","[0.15537570346303164, 0.9318017366136034, 0.9852468231833441]","[0.14632830935714833, 0.9357853482062104, 0.9867566296749356]","[0.15123207737765543, 0.9345794392703058, 0.9856343879833812]"
32_24_1,"[0.16094457753034414, 0.9360382478356377, 0.9842639322974727]","[0.15343529792494437, 0.9337916063675832, 0.9855151783594995]","[0.14506031868275718, 0.934880916490805, 0.9872536486630445]","[0.13989463847895361, 0.9427193246909858, 0.987786116529463]"
32_0,"[0.10040529108616668, 0.9571902321554431, 0.9937314260734765]","[0.10022893700583588, 0.9574917093939116, 0.9937461199090453]","[0.10079663171159721, 0.9599035273016595, 0.9938273033505619]","[0.09468693328036665, 0.9611094362555335, 0.9944055057801875]"
24_0,"[0.10625899943192078, 0.9541754597707581, 0.9929451221976101]","[0.10147135196852264, 0.9589990955862541, 0.9935661204233295]","[0.10592946851918604, 0.9535725052938211, 0.9929489793294467]","[0.10520438301521035, 0.956587277678506, 0.9929078365898546]"
32_16_0,"[0.15012598692032095, 0.9330720530779634, 0.9861589579131813]","[0.15231595053383842, 0.9294543262163415, 0.9858066732054235]","[0.13852639976335213, 0.9421163702320183, 0.9884306248920921]","[0.150026485947221, 0.9345794392703058, 0.9860954070743472]"
32_24_0,"[0.14412611316387502, 0.9378956888934593, 0.9872584241596044]","[0.14090034080613692, 0.9384986433703963, 0.9879251569485312]","[0.1413248550008678, 0.9388001205908953, 0.9877947491578596]","[0.1470778335199178, 0.9363883027011168, 0.9867445072605915]"
