,0.3,0.5,0.7,1
32_1,"[0.1414183030026025, 0.9386225610543998, 0.9876231148513432]","[0.1333899886560304, 0.9375904486251809, 0.9890810173018887]","[0.12154281168630279, 0.9457340970936402, 0.990859515911587]","[0.12452138619784368, 0.9448296653782348, 0.9904873945258115]"
24_1,"[0.14895951174021957, 0.937588835766895, 0.987624060719319]","[0.13814420974813402, 0.9393994211287988, 0.9883721145858059]","[0.13766946762189256, 0.9381971661319278, 0.9885922570833472]","[0.14813212984496205, 0.9369912571780539, 0.9876654434048556]"
32_16_1,"[0.1542994753782648, 0.935133738209071, 0.9855036949656854]","[0.1491733857844289, 0.9332489146164978, 0.9869604021142043]","[0.15836721134448145, 0.9327705758215254, 0.9873146280806545]","[0.15561406778995446, 0.9333735303164319, 0.9864855284086944]"
32_24_1,"[0.15040478958841064, 0.9396562863419047, 0.9865127334098135]","[0.1488517114045853, 0.9383140376266281, 0.9868312578413754]","[0.1461697944381266, 0.9406089840396759, 0.9871416081668339]","[0.15529059217992877, 0.9357853482241799, 0.9882032377866675]"
32_0,"[0.12176208304876407, 0.9511606873860732, 0.9908264547815576]","[0.15197077718329494, 0.9360868254626483, 0.9875949129941262]","[0.11952046523003185, 0.9496533011937307, 0.9912865555078005]","[0.11631145291810954, 0.9484473922398567, 0.9919156353430827]"
24_0,"[0.13324848743549242, 0.9430208019474238, 0.9899591511371191]","[0.13978585603436075, 0.9397045523242703, 0.9884824206624715]","[0.14304769802462328, 0.9424178474704867, 0.9883380537280096]","[0.14245521195877522, 0.9384986433703963, 0.9878189939865478]"
32_16_0,"[0.17879251448310102, 0.9258365993367501, 0.9863854266538831]","[0.18632797729296968, 0.9267410310521556, 0.9868087927912043]","[0.16921073255146848, 0.9297558034368405, 0.9880074424277155]","[0.15428919253271675, 0.9354838709857114, 0.9858301833423333]"
32_24_0,"[0.13055798502227323, 0.9493518239552622, 0.9893589079541406]","[0.14797030789718674, 0.9384986433524269, 0.9890778883488905]","[8.877829493619535, 0.4492010853270432, 0.46145421217163873]","[0.1411313303792049, 0.9403075067832378, 0.9878880550137205]"
