,0.3,0.5,0.7,1
256_1,"[0.5799179358952711, 0.7210884349686759, 0.772280456557186]","[0.5737852913992746, 0.7523809523809524, 0.7937757437070938]","[0.6111261452746204, 0.7086614182614904, 0.8153423288355822]","[0.5621147562587072, 0.7380952390413436, 0.8240528858377828]"
128_1,"[0.552262029680265, 0.7108843533360228, 0.7832750989983694]","[0.5459592541058859, 0.7380952380952381, 0.8024713958810068]","[0.5790270684272285, 0.7244094497575535, 0.8175912043978011]","[0.5572095082865821, 0.7222222231683277, 0.8194762267988813]"
256_200_1,"[0.6499026010231096, 0.6462585034013606, 0.7531330072210576]","[0.5796550075213115, 0.7047619047619048, 0.7705263157894737]","[0.5624844826112582, 0.7007874029827869, 0.758120939530235]","[0.6059695416026645, 0.7063492044569954, 0.7777777777777778]"
256_128_1,"[0.5986273529983702, 0.7142857142857143, 0.7362217563475425]","[0.582461990345092, 0.6904761904761905, 0.7673226544622426]","[0.585525244474411, 0.6535433089639259, 0.7523738130934533]","[0.5687273527894702, 0.6984126965204874, 0.8044749555047037]"
128_64_1,"[0.6398543676956981, 0.6258503397305807, 0.7453994875378522]","[0.6373154552209945, 0.6428571428571429, 0.7345537757437071]","[0.6334265099735711, 0.6771653571466761, 0.6894052973513244]","[0.6248057636003645, 0.6507936526858618, 0.726417493007882]"
256_128_64_1,"[0.6822361350059509, 0.5476190480245214, 0.6002329373398556]","[0.6763877828915914, 0.580952380952381, 0.717162471395881]","[0.6378939151763916, 0.6692913404599888, 0.7038980509745127]","[0.6172771288288964, 0.61904762093983, 0.7485380116959064]"
