,0.3,0.5,0.7,1
5_1,"[0.08345840129585709, 0.975496847314231, 0.9707636133505008]","[0.07843231462156164, 0.976868923902112, 0.9756522349266007]","[0.07689044007708906, 0.9770949720226408, 0.9781595015055203]","[0.0769169306247261, 0.9767225325440562, 0.9786115757778521]"
4_1,"[0.08489859760802464, 0.9750977731662543, 0.9703230234273194]","[0.07836716441365378, 0.976533690915186, 0.9766261638336038]","[0.07755095963288286, 0.976163873326179, 0.9783393275342923]","[0.07745121109197038, 0.9765363128047637, 0.9779405737704917]"
6_4_1,"[0.0885627959460265, 0.9736611062335382, 0.9686842885327958]","[0.08790970944448455, 0.9749692703095318, 0.9694283944892556]","[0.08782880145300256, 0.9729981377582089, 0.9734183673469389]","[0.08181368435283835, 0.9735567969760859, 0.976458681833389]"
4_2_1,"[0.15882520248496623, 0.9290446164897438, 0.9391586931598912]","[0.09753113130521929, 0.9692703095317913, 0.9696341627109543]","[0.08620561062457176, 0.9739292364546707, 0.9733560555369689]","[0.08346629701624148, 0.9744878956725478, 0.9756415189026431]"
5_0,"[0.07673095906052732, 0.9765363128047637, 0.9785714285714285]","[0.07719922801219552, 0.9763500930654714, 0.9785166443626632]","[0.07700541789749259, 0.9763500930654714, 0.9785580461692873]","[0.07745612666454839, 0.9765363128047637, 0.9781720475075275]"
4_0,"[0.07832699042209033, 0.9759776535868867, 0.9782021579123453]","[0.07860803070514562, 0.9757914338475943, 0.977077199732352]","[0.07733558383067893, 0.9769087522833485, 0.9776150050184008]","[0.07749254874593718, 0.9763500930654714, 0.9779587654734024]"
6_4_0,"[0.08918653138301004, 0.9722532588010394, 0.971906155904985]","[0.08690377084791549, 0.9735567969760859, 0.9743149882903982]","[0.08717711988135866, 0.9731843574975012, 0.9726589160254266]","[0.08289130346041373, 0.974115456193963, 0.9759509869521578]"
4_2_0,"[0.08771310696999232, 0.9739292364546707, 0.9727571930411509]","[0.08610181018182907, 0.974115456193963, 0.9746382569421211]","[0.0864414886028629, 0.9744878956725478, 0.9726589160254265]","[0.08766749324329072, 0.974115456193963, 0.9729158999665439]"
